Image,Energy,Entropy,InverseDifference,Correlation,InfoMeasureCorrelation1,InfoMeasureCorrelation2,Contrast,DifferenceEntropy,DifferenceVariance,SumAverage,SumEntropy,SumVariance
13999.png,0.000274986,9.08919,0.100723,4.70018e+09,-0.314681,0.981587,686.702,3.57666,594.559,248.886,6.05495,75126.9
15186.png,0.00269298,7.35983,0.281937,1.20494e+08,-0.444355,0.991995,192.276,2.43829,171.477,95.2402,5.41488,17137.4
19617.png,0.000397108,8.5765,0.113205,9.72322e+08,-0.333609,0.982443,265.311,3.12475,219.936,179.684,5.82075,38741.4
10649.png,0.0293057,6.70058,0.413467,6.3853e+07,-0.570715,0.997459,150.098,2.0889,137.973,123.784,5.24905,29149.7
12802.png,0.000963222,7.86696,0.208649,1.23868e+09,-0.457542,0.994912,245.921,2.55195,221.515,257.456,5.77558,76184.8
10420.png,0.00167911,7.4034,0.286758,6.93493e+08,-0.473255,0.99454,189.356,2.42415,169.678,233.295,5.51837,65490.9
12094.png,0.00101917,8.09521,0.200027,1.66115e+09,-0.435028,0.993979,213.802,2.71684,185.775,251.123,5.85101,78049.6
03607.png,0.000577471,8.59031,0.157364,3.23336e+09,-0.395547,0.992111,682.205,3.09379,623.615,232.835,6.04073,75275.1
13439.png,0.000721754,8.48236,0.147903,1.29488e+09,-0.369976,0.988415,547.493,3.17365,489.54,188.353,5.89029,61688.7
10872.png,0.00531377,7.21137,0.390854,1.00597e+09,-0.559557,0.998011,109.943,2.2718,95.9404,295.823,5.60928,99245.1
00690.png,0.00125694,8.61379,0.176315,2.67505e+09,-0.387381,0.991306,570.86,3.17764,510.802,278.189,6.01701,94833
04163.png,0.00681725,7.63098,0.332413,1.01347e+09,-0.534471,0.997929,293.779,2.42493,270.092,285.114,5.81274,102550
